Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away,Player
37,35.0,2024-01-10,27-078,BOS,,MIN,W (+7),1,43,9.0,16.0,56.3%,4.0,7.0,57.1%,13.0,13.0,100.0%,1.0,10.0,11.0,3.0,2.0,1.0,2.0,1.0,35.0,33.5,10.0,Home,Jaylen Brown
39,37.0,2024-01-13,27-081,BOS,,HOU,W (+32),1,28,11.0,15.0,73.3%,4.0,6.0,66.7%,6.0,10.0,60.0%,1.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,32.0,26.3,19.0,Home,Jaylen Brown
41,38.0,2024-01-17,27-085,BOS,,SAS,W (+19),1,31,8.0,16.0,50.0%,3.0,6.0,50.0%,2.0,2.0,100.0%,1.0,6.0,7.0,5.0,1.0,1.0,3.0,2.0,21.0,16.9,12.0,Home,Jaylen Brown
42,39.0,2024-01-19,27-087,BOS,,DEN,L (-2),1,35,6.0,19.0,31.6%,1.0,9.0,11.1%,0.0,2.0,0.0%,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,13.0,3.4,-2.0,Home,Jaylen Brown
43,40.0,2024-01-21,27-089,BOS,@,HOU,W (+9),1,30,6.0,14.0,42.9%,1.0,3.0,33.3%,0.0,2.0,0.0%,0.0,11.0,11.0,10.0,3.0,0.0,3.0,0.0,13.0,15.1,4.0,Away,Jaylen Brown
44,41.0,2024-01-22,27-090,BOS,@,DAL,W (+9),1,36,13.0,22.0,59.1%,2.0,7.0,28.6%,6.0,9.0,66.7%,1.0,2.0,3.0,4.0,0.0,2.0,0.0,5.0,34.0,26.1,-6.0,Away,Jaylen Brown
46,43.0,2024-01-27,27-095,BOS,,LAC,L (-19),1,24,3.0,13.0,23.1%,0.0,2.0,0.0%,2.0,2.0,100.0%,5.0,1.0,6.0,2.0,0.0,1.0,1.0,3.0,8.0,3.8,-18.0,Home,Jaylen Brown
47,44.0,2024-01-29,27-097,BOS,,NOP,W (+6),1,36,8.0,15.0,53.3%,1.0,5.0,20.0%,5.0,7.0,71.4%,2.0,9.0,11.0,7.0,0.0,1.0,0.0,3.0,22.0,22.4,6.0,Home,Jaylen Brown
48,45.0,2024-01-30,27-098,BOS,,IND,W (+5),1,35,9.0,15.0,60.0%,0.0,3.0,0.0%,7.0,8.0,87.5%,2.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,25.0,23.7,-6.0,Home,Jaylen Brown
51,47.0,2024-02-07,27-106,BOS,,ATL,W (+8),1,33,7.0,11.0,63.6%,0.0,2.0,0.0%,1.0,1.0,100.0%,0.0,6.0,6.0,6.0,1.0,0.0,2.0,4.0,15.0,13.5,-3.0,Home,Jaylen Brown
53,49.0,2024-02-11,27-110,BOS,@,MIA,W (+4),1,37,8.0,16.0,50.0%,3.0,8.0,37.5%,1.0,4.0,25.0%,3.0,6.0,9.0,2.0,0.0,0.0,6.0,1.0,20.0,9.7,3.0,Away,Jaylen Brown
54,50.0,2024-02-13,27-112,BOS,@,BRK,W (+8),1,37,7.0,19.0,36.8%,1.0,6.0,16.7%,4.0,6.0,66.7%,1.0,0.0,1.0,4.0,1.0,0.0,4.0,5.0,19.0,6.2,9.0,Away,Jaylen Brown
56,51.0,2024-02-22,27-121,BOS,@,CHI,W (+17),1,32,7.0,12.0,58.3%,3.0,5.0,60.0%,4.0,6.0,66.7%,0.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,21.0,18.5,19.0,Away,Jaylen Brown
57,52.0,2024-02-24,27-123,BOS,@,NYK,W (+14),1,34,13.0,24.0,54.2%,3.0,9.0,33.3%,1.0,3.0,33.3%,0.0,8.0,8.0,3.0,1.0,0.0,0.0,2.0,30.0,22.3,15.0,Away,Jaylen Brown
58,53.0,2024-02-27,27-126,BOS,,PHI,W (+18),1,34,11.0,14.0,78.6%,1.0,2.0,50.0%,8.0,10.0,80.0%,1.0,5.0,6.0,1.0,1.0,0.0,4.0,4.0,31.0,23.1,25.0,Home,Jaylen Brown
59,54.0,2024-03-01,27-129,BOS,,DAL,W (+28),1,30,11.0,20.0,55.0%,2.0,5.0,40.0%,1.0,1.0,100.0%,1.0,6.0,7.0,5.0,1.0,0.0,0.0,3.0,25.0,21.2,16.0,Home,Jaylen Brown
60,55.0,2024-03-03,27-131,BOS,,GSW,W (+52),1,22,11.0,19.0,57.9%,5.0,10.0,50.0%,2.0,2.0,100.0%,1.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,29.0,22.7,35.0,Home,Jaylen Brown
61,56.0,2024-03-05,27-133,BOS,@,CLE,L (-1),1,36,8.0,20.0,40.0%,3.0,7.0,42.9%,2.0,2.0,100.0%,2.0,1.0,3.0,4.0,0.0,0.0,1.0,3.0,21.0,12.5,9.0,Away,Jaylen Brown
62,57.0,2024-03-07,27-135,BOS,@,DEN,L (-6),1,41,16.0,29.0,55.2%,2.0,7.0,28.6%,7.0,14.0,50.0%,6.0,8.0,14.0,4.0,2.0,0.0,2.0,4.0,41.0,32.1,5.0,Away,Jaylen Brown
