Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
64,56.0,2024-03-09,25-010,DAL,@,DET,W (+18),1,36,13.0,24.0,54.2%,4.0,13.0,30.8%,9.0,10.0,90.0%,0.0,10.0,10.0,10.0,3.0,2.0,6.0,1.0,39.0,35.0,13,Away
65,57.0,2024-03-11,25-012,DAL,@,CHI,W (+35),1,33,9.0,23.0,39.1%,6.0,15.0,40.0%,3.0,4.0,75.0%,2.0,10.0,12.0,14.0,1.0,0.0,2.0,2.0,27.0,26.5,34,Away
66,58.0,2024-03-13,25-014,DAL,,GSW,W (+10),1,29,7.0,18.0,38.9%,1.0,6.0,16.7%,6.0,8.0,75.0%,1.0,2.0,3.0,9.0,0.0,0.0,6.0,0.0,21.0,12.0,14,Home
68,59.0,2024-03-17,25-018,DAL,,DEN,W (+2),1,40,12.0,27.0,44.4%,5.0,11.0,45.5%,8.0,10.0,80.0%,4.0,6.0,10.0,3.0,2.0,0.0,3.0,3.0,37.0,26.6,-1,Home
69,60.0,2024-03-19,25-020,DAL,@,SAS,W (+6),1,40,6.0,27.0,22.2%,2.0,12.0,16.7%,4.0,5.0,80.0%,0.0,10.0,10.0,16.0,1.0,0.0,4.0,0.0,18.0,12.3,5,Away
70,61.0,2024-03-21,25-022,DAL,,UTA,W (+16),1,34,11.0,23.0,47.8%,4.0,10.0,40.0%,8.0,12.0,66.7%,1.0,8.0,9.0,8.0,4.0,0.0,4.0,2.0,34.0,28.6,-3,Home
71,62.0,2024-03-25,25-026,DAL,@,UTA,W (+10),1,41,10.0,24.0,41.7%,2.0,11.0,18.2%,7.0,8.0,87.5%,2.0,10.0,12.0,13.0,1.0,1.0,4.0,3.0,29.0,25.8,10,Away
72,63.0,2024-03-26,25-027,DAL,@,SAC,W (+36),1,31,10.0,18.0,55.6%,4.0,8.0,50.0%,4.0,5.0,80.0%,1.0,10.0,11.0,6.0,2.0,0.0,4.0,4.0,28.0,23.3,18,Away
73,64.0,2024-03-29,25-030,DAL,@,SAC,W (+4),1,40,6.0,14.0,42.9%,4.0,8.0,50.0%,10.0,14.0,71.4%,0.0,9.0,9.0,12.0,2.0,0.0,5.0,2.0,26.0,24.3,6,Away
74,65.0,2024-03-31,25-032,DAL,@,HOU,W (+18),1,35,18.0,30.0,60.0%,9.0,16.0,56.3%,2.0,5.0,40.0%,0.0,12.0,12.0,7.0,2.0,0.0,4.0,1.0,47.0,38.1,12,Away
75,66.0,2024-04-02,25-034,DAL,@,GSW,L (-4),1,39,11.0,22.0,50.0%,5.0,11.0,45.5%,3.0,4.0,75.0%,1.0,11.0,12.0,11.0,0.0,0.0,5.0,1.0,30.0,24.9,9,Away
76,67.0,2024-04-04,25-036,DAL,,ATL,W (+14),1,37,8.0,25.0,32.0%,6.0,15.0,40.0%,3.0,3.0,100.0%,0.0,12.0,12.0,8.0,2.0,1.0,5.0,3.0,25.0,16.4,21,Home
78,68.0,2024-04-07,25-039,DAL,,HOU,W (+11),1,45,12.0,21.0,57.1%,4.0,10.0,40.0%,9.0,9.0,100.0%,2.0,7.0,9.0,12.0,0.0,2.0,7.0,5.0,37.0,31.4,20,Home
79,69.0,2024-04-09,25-041,DAL,@,CHO,W (+26),1,34,13.0,25.0,52.0%,8.0,17.0,47.1%,5.0,7.0,71.4%,2.0,10.0,12.0,10.0,0.0,1.0,4.0,2.0,39.0,33.2,22,Away
80,70.0,2024-04-10,25-042,DAL,@,MIA,W (+19),1,35,9.0,23.0,39.1%,4.0,15.0,26.7%,7.0,8.0,87.5%,1.0,8.0,9.0,9.0,0.0,0.0,3.0,4.0,29.0,20.9,7,Away
83,71.0,2024-04-21,25-053,DAL,@,LAC,L (-12),1,42,11.0,26.0,42.3%,4.0,12.0,33.3%,7.0,8.0,87.5%,1.0,12.0,13.0,6.0,1.0,0.0,4.0,1.0,33.0,23.9,3,Away
84,72.0,2024-04-23,25-055,DAL,@,LAC,W (+3),1,45,11.0,26.0,42.3%,5.0,14.0,35.7%,5.0,6.0,83.3%,0.0,6.0,6.0,9.0,1.0,1.0,3.0,3.0,32.0,23.4,8,Away
85,73.0,2024-04-26,25-058,DAL,,LAC,W (+11),1,40,7.0,25.0,28.0%,3.0,14.0,21.4%,5.0,7.0,71.4%,1.0,9.0,10.0,9.0,2.0,0.0,5.0,2.0,22.0,12.4,11,Home
86,74.0,2024-04-28,25-060,DAL,,LAC,L (-5),1,44,10.0,24.0,41.7%,1.0,9.0,11.1%,8.0,10.0,80.0%,4.0,6.0,10.0,10.0,0.0,1.0,3.0,5.0,29.0,22.7,10,Home
87,75.0,2024-05-01,25-063,DAL,@,LAC,W (+30),1,39,14.0,26.0,53.8%,2.0,8.0,25.0%,5.0,5.0,100.0%,1.0,6.0,7.0,10.0,1.0,0.0,2.0,4.0,35.0,29.3,28,Away
88,76.0,2024-05-03,25-065,DAL,,LAC,W (+13),1,43,9.0,26.0,34.6%,1.0,10.0,10.0%,9.0,11.0,81.8%,1.0,6.0,7.0,13.0,1.0,1.0,5.0,5.0,28.0,18.9,9,Home
89,77.0,2024-05-07,25-069,DAL,@,OKC,L (-22),1,40,6.0,19.0,31.6%,1.0,8.0,12.5%,6.0,10.0,60.0%,0.0,6.0,6.0,9.0,2.0,0.0,5.0,0.0,19.0,11.6,-21,Away
90,78.0,2024-05-09,25-071,DAL,@,OKC,W (+9),1,41,11.0,21.0,52.4%,5.0,8.0,62.5%,2.0,2.0,100.0%,0.0,10.0,10.0,7.0,3.0,1.0,1.0,0.0,29.0,29.3,6,Away
91,79.0,2024-05-11,25-073,DAL,,OKC,W (+4),1,39,7.0,17.0,41.2%,1.0,4.0,25.0%,7.0,10.0,70.0%,3.0,12.0,15.0,5.0,2.0,0.0,4.0,1.0,22.0,18.5,3,Home
92,80.0,2024-05-13,25-075,DAL,,OKC,L (-4),1,41,6.0,20.0,30.0%,2.0,9.0,22.2%,4.0,6.0,66.7%,1.0,11.0,12.0,10.0,2.0,1.0,7.0,4.0,18.0,10.7,1,Home
93,81.0,2024-05-15,25-077,DAL,@,OKC,W (+12),1,41,12.0,22.0,54.5%,5.0,11.0,45.5%,2.0,3.0,66.7%,0.0,10.0,10.0,11.0,0.0,1.0,3.0,3.0,31.0,27.2,13,Away
94,82.0,2024-05-18,25-080,DAL,,OKC,W (+1),1,44,9.0,15.0,60.0%,4.0,6.0,66.7%,7.0,7.0,100.0%,0.0,10.0,10.0,10.0,2.0,0.0,7.0,4.0,29.0,25.5,7,Home
95,83.0,2024-05-22,25-084,DAL,@,MIN,W (+3),1,40,12.0,26.0,46.2%,3.0,10.0,30.0%,6.0,7.0,85.7%,0.0,6.0,6.0,8.0,3.0,1.0,4.0,2.0,33.0,25.5,-9,Away
96,84.0,2024-05-24,25-086,DAL,@,MIN,W (+1),1,41,10.0,23.0,43.5%,5.0,11.0,45.5%,7.0,7.0,100.0%,1.0,9.0,10.0,13.0,0.0,0.0,4.0,0.0,32.0,28.4,6,Away
97,85.0,2024-05-26,25-088,DAL,,MIN,W (+9),1,41,10.0,20.0,50.0%,5.0,11.0,45.5%,8.0,10.0,80.0%,1.0,6.0,7.0,5.0,5.0,1.0,3.0,2.0,33.0,30.1,6,Home
98,86.0,2024-05-28,25-090,DAL,,MIN,L (-5),1,40,7.0,21.0,33.3%,4.0,11.0,36.4%,10.0,12.0,83.3%,2.0,13.0,15.0,10.0,1.0,0.0,3.0,4.0,28.0,24.0,-13,Home
99,87.0,2024-05-30,25-092,DAL,@,MIN,W (+21),1,36,14.0,22.0,63.6%,6.0,10.0,60.0%,2.0,3.0,66.7%,0.0,10.0,10.0,5.0,2.0,0.0,4.0,2.0,36.0,29.5,22,Away
100,88.0,2024-06-06,25-099,DAL,@,BOS,L (-18),1,38,12.0,26.0,46.2%,4.0,12.0,33.3%,2.0,5.0,40.0%,0.0,10.0,10.0,1.0,2.0,0.0,4.0,1.0,30.0,16.7,-10,Away
101,89.0,2024-06-09,25-102,DAL,@,BOS,L (-7),1,42,12.0,21.0,57.1%,4.0,9.0,44.4%,4.0,8.0,50.0%,0.0,11.0,11.0,11.0,4.0,0.0,8.0,1.0,32.0,27.1,c,Away
