Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
50,28.0,2024-02-05,31-319,DAL,@,PHI,W (+16),1,34,10.0,17.0,58.8%,2.0,3.0,66.7%,1.0,1.0,100.0%,1.0,4.0,5.0,8.0,2.0,1.0,1.0,4.0,23.0,22.7,15.0,Away
53,31.0,2024-02-10,31-324,DAL,,OKC,W (+35),1,33,11.0,19.0,57.9%,2.0,7.0,28.6%,1.0,2.0,50.0%,1.0,5.0,6.0,8.0,1.0,0.0,1.0,2.0,25.0,22.7,32.0,Home
54,32.0,2024-02-12,31-326,DAL,,WAS,W (+8),1,42,10.0,19.0,52.6%,2.0,7.0,28.6%,4.0,6.0,66.7%,1.0,6.0,7.0,4.0,0.0,2.0,2.0,3.0,26.0,19.4,3.0,Home
56,34.0,2024-02-22,31-336,DAL,,PHO,W (+10),1,35,11.0,18.0,61.1%,5.0,8.0,62.5%,2.0,2.0,100.0%,1.0,4.0,5.0,3.0,1.0,0.0,1.0,2.0,29.0,24.0,20.0,Home
57,35.0,2024-02-25,31-339,DAL,@,IND,L (-22),1,32,10.0,22.0,45.5%,3.0,7.0,42.9%,6.0,6.0,100.0%,0.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,29.0,19.8,-16.0,Away
58,36.0,2024-02-27,31-341,DAL,@,CLE,L (-2),1,38,12.0,24.0,50.0%,5.0,8.0,62.5%,1.0,1.0,100.0%,1.0,5.0,6.0,3.0,1.0,1.0,3.0,1.0,30.0,20.6,-8.0,Away
59,37.0,2024-02-28,31-342,DAL,@,TOR,W (+11),1,35,11.0,20.0,55.0%,2.0,6.0,33.3%,5.0,5.0,100.0%,0.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,29.0,21.9,0.0,Away
61,39.0,2024-03-03,31-346,DAL,,PHI,L (-4),1,38,10.0,20.0,50.0%,5.0,9.0,55.6%,3.0,3.0,100.0%,0.0,5.0,5.0,4.0,1.0,0.0,4.0,0.0,28.0,19.3,-8.0,Home
62,40.0,2024-03-05,31-348,DAL,,IND,L (-17),1,36,8.0,19.0,42.1%,3.0,9.0,33.3%,4.0,4.0,100.0%,2.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,23.0,16.7,-20.0,Home
63,41.0,2024-03-07,31-350,DAL,,MIA,W (+6),1,36,9.0,19.0,47.4%,3.0,9.0,33.3%,2.0,2.0,100.0%,0.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,23.0,16.6,-7.0,Home
66,44.0,2024-03-13,31-356,DAL,,GSW,W (+10),1,34,8.0,16.0,50.0%,1.0,5.0,20.0%,6.0,6.0,100.0%,0.0,8.0,8.0,10.0,1.0,1.0,1.0,3.0,23.0,23.9,1.0,Home
67,45.0,2024-03-14,31-357,DAL,@,OKC,L (-7),1,38,12.0,18.0,66.7%,4.0,7.0,57.1%,8.0,8.0,100.0%,1.0,3.0,4.0,12.0,2.0,0.0,4.0,1.0,36.0,35.8,-10.0,Away
68,46.0,2024-03-17,31-360,DAL,,DEN,W (+2),1,39,9.0,23.0,39.1%,4.0,11.0,36.4%,2.0,2.0,100.0%,3.0,4.0,7.0,9.0,3.0,1.0,3.0,2.0,24.0,21.0,6.0,Home
69,47.0,2024-03-19,31-362,DAL,@,SAS,W (+6),1,38,13.0,21.0,61.9%,0.0,5.0,0.0%,2.0,2.0,100.0%,1.0,6.0,7.0,3.0,2.0,0.0,1.0,3.0,28.0,22.9,-10.0,Away
71,49.0,2024-03-25,32-002,DAL,@,UTA,W (+10),1,35,10.0,21.0,47.6%,4.0,9.0,44.4%,3.0,3.0,100.0%,0.0,3.0,3.0,5.0,0.0,0.0,2.0,2.0,27.0,17.9,9.0,Away
72,50.0,2024-03-26,32-003,DAL,@,SAC,W (+36),1,34,10.0,19.0,52.6%,4.0,9.0,44.4%,0.0,1.0,0.0%,0.0,3.0,3.0,8.0,2.0,0.0,1.0,4.0,24.0,20.2,28.0,Away
73,51.0,2024-03-29,32-006,DAL,@,SAC,W (+4),1,37,11.0,16.0,68.8%,3.0,5.0,60.0%,5.0,6.0,83.3%,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,30.0,22.7,8.0,Away
