Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
28,27.0,2023-12-23,25-295,BOS,@,LAC,W (+37),1,30,9.0,16.0,56.3%,5.0,10.0,50.0%,7.0,9.0,77.8%,0.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,30.0,23.2,19.0,Away
29,28.0,2023-12-25,25-297,BOS,@,LAL,W (+11),1,41,6.0,15.0,40.0%,1.0,6.0,16.7%,12.0,13.0,92.3%,0.0,8.0,8.0,7.0,0.0,1.0,1.0,0.0,25.0,23.5,10.0,Away
30,29.0,2023-12-28,25-300,BOS,,DET,W (+6),1,43,11.0,31.0,35.5%,2.0,11.0,18.2%,7.0,8.0,87.5%,2.0,5.0,7.0,10.0,5.0,0.0,3.0,4.0,31.0,23.6,10.0,Home
33,31.0,2024-01-02,25-305,BOS,@,OKC,L (-4),1,37,10.0,21.0,47.6%,2.0,5.0,40.0%,8.0,10.0,80.0%,5.0,8.0,13.0,8.0,1.0,0.0,4.0,3.0,30.0,25.8,0.0,Away
34,32.0,2024-01-05,25-308,BOS,,UTA,W (+29),1,24,6.0,12.0,50.0%,5.0,8.0,62.5%,13.0,14.0,92.9%,0.0,9.0,9.0,5.0,1.0,1.0,1.0,1.0,30.0,30.1,34.0,Home
35,33.0,2024-01-06,25-309,BOS,@,IND,W (+17),1,37,14.0,23.0,60.9%,8.0,13.0,61.5%,2.0,4.0,50.0%,1.0,12.0,13.0,6.0,1.0,0.0,4.0,4.0,38.0,30.6,19.0,Away
37,34.0,2024-01-10,25-313,BOS,,MIN,W (+7),1,42,13.0,26.0,50.0%,6.0,11.0,54.5%,13.0,14.0,92.9%,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,45.0,33.0,3.0,Home
38,35.0,2024-01-11,25-314,BOS,@,MIL,L (-33),1,15,2.0,6.0,33.3%,0.0,1.0,0.0%,3.0,4.0,75.0%,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,7.0,3.8,-31.0,Away
39,36.0,2024-01-13,25-316,BOS,,HOU,W (+32),1,29,9.0,17.0,52.9%,4.0,7.0,57.1%,5.0,7.0,71.4%,1.0,7.0,8.0,5.0,1.0,1.0,2.0,2.0,27.0,23.1,9.0,Home
40,37.0,2024-01-15,25-318,BOS,@,TOR,W (+9),1,37,7.0,19.0,36.8%,1.0,6.0,16.7%,4.0,4.0,100.0%,0.0,14.0,14.0,6.0,1.0,1.0,1.0,2.0,19.0,16.8,8.0,Away
41,38.0,2024-01-17,25-320,BOS,,SAS,W (+19),1,31,9.0,21.0,42.9%,3.0,8.0,37.5%,3.0,5.0,60.0%,0.0,5.0,5.0,2.0,0.0,0.0,2.0,2.0,24.0,12.2,11.0,Home
42,39.0,2024-01-19,25-322,BOS,,DEN,L (-2),1,38,9.0,24.0,37.5%,1.0,8.0,12.5%,3.0,3.0,100.0%,2.0,6.0,8.0,5.0,1.0,0.0,0.0,1.0,22.0,16.1,6.0,Home
43,40.0,2024-01-21,25-324,BOS,@,HOU,W (+9),1,35,4.0,17.0,23.5%,1.0,6.0,16.7%,9.0,12.0,75.0%,1.0,6.0,7.0,3.0,1.0,0.0,2.0,0.0,18.0,10.1,-4.0,Away
44,41.0,2024-01-22,25-325,BOS,@,DAL,W (+9),1,40,11.0,21.0,52.4%,2.0,8.0,25.0%,15.0,19.0,78.9%,0.0,11.0,11.0,5.0,3.0,2.0,0.0,4.0,39.0,36.7,27.0,Away
45,42.0,2024-01-25,25-328,BOS,@,MIA,W (+33),1,32,7.0,15.0,46.7%,3.0,7.0,42.9%,9.0,10.0,90.0%,1.0,7.0,8.0,4.0,0.0,0.0,1.0,1.0,26.0,22.1,22.0,Away
46,43.0,2024-01-27,25-330,BOS,,LAC,L (-19),1,30,8.0,18.0,44.4%,2.0,4.0,50.0%,3.0,3.0,100.0%,3.0,8.0,11.0,1.0,0.0,1.0,3.0,2.0,21.0,13.7,-32.0,Home
47,44.0,2024-01-29,25-332,BOS,,NOP,W (+6),1,37,10.0,18.0,55.6%,2.0,8.0,25.0%,6.0,7.0,85.7%,0.0,10.0,10.0,8.0,3.0,1.0,7.0,1.0,28.0,23.9,9.0,Home
48,45.0,2024-01-30,25-333,BOS,,IND,W (+5),1,38,12.0,19.0,63.2%,4.0,9.0,44.4%,2.0,3.0,66.7%,0.0,7.0,7.0,7.0,1.0,2.0,2.0,2.0,30.0,27.7,-4.0,Home
49,46.0,2024-02-01,25-335,BOS,,LAL,L (-9),1,36,8.0,21.0,38.1%,5.0,10.0,50.0%,2.0,2.0,100.0%,2.0,5.0,7.0,3.0,1.0,1.0,2.0,3.0,23.0,15.0,-12.0,Home
50,47.0,2024-02-04,25-338,BOS,,MEM,W (+40),1,30,12.0,22.0,54.5%,6.0,12.0,50.0%,4.0,4.0,100.0%,1.0,7.0,8.0,7.0,1.0,0.0,2.0,1.0,34.0,29.7,27.0,Home
51,48.0,2024-02-07,25-341,BOS,,ATL,W (+8),1,35,8.0,21.0,38.1%,2.0,13.0,15.4%,2.0,2.0,100.0%,0.0,9.0,9.0,7.0,1.0,0.0,3.0,3.0,20.0,12.9,3.0,Home
