Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
301,Jarred Vanderbilt,1.1,2023-24,24,LAL,29,6,0,581,59,114,51,87,8,27,24,36,41,97,138,36,36,5,28,43,150,0.518,0.586,0.296,0.667,0.578,0.553,F
302,Bismack Biyombo,1.1,2023-24,31,"MEM,OKC",40,27,0,791,74,131,74,131,0,0,26,54,62,147,209,53,11,37,42,89,174,0.565,0.565,,0.481,0.562,0.565,C-F
303,A.J. Green,1.1,2023-24,24,MIL,56,0,0,614,83,196,14,27,69,169,17,19,9,55,64,30,9,4,12,49,252,0.423,0.519,0.408,0.895,0.617,0.599,G
304,Jalen Wilson,1.1,2023-24,23,BRK,43,3,0,664,76,179,52,105,24,74,38,46,47,84,131,45,11,4,19,48,214,0.425,0.495,0.324,0.826,0.537,0.492,F
305,Bojan Bogdanović,1.1,2023-24,34,"DET,NYK",57,27,0,1478,309,681,176,347,133,334,117,149,22,130,152,97,30,5,101,95,868,0.454,0.507,0.398,0.785,0.581,0.551,G-F
306,Sasha Vezenkov,1,2023-24,28,SAC,42,0,0,511,84,191,39,71,45,120,12,15,30,66,96,19,20,7,12,42,225,0.44,0.549,0.375,0.8,0.569,0.558,F
307,Ricky Council IV,1,2023-24,22,PHI,32,0,0,289,54,112,42,80,12,32,53,71,14,32,46,16,8,1,5,17,173,0.482,0.525,0.375,0.746,0.604,0.536,G
308,Jake LaRavia,1,2023-24,22,MEM,35,6,0,806,118,303,65,147,53,156,90,109,51,77,128,58,29,12,45,69,379,0.389,0.442,0.34,0.826,0.54,0.477,F
309,Sandro Mamukelashvili,1,2023-24,24,SAS,46,5,0,451,73,155,54,91,19,64,25,34,45,102,147,49,7,12,19,35,190,0.471,0.593,0.297,0.735,0.559,0.532,C-F
310,Marcus Morris,1,2023-24,34,"CLE,PHI",49,7,0,817,116,264,68,145,48,119,36,44,23,111,134,36,15,13,30,74,316,0.439,0.469,0.403,0.818,0.558,0.53,F
311,Ben Simmons,1,2023-24,27,BRK,15,12,0,359,43,74,43,74,0,0,6,15,31,88,119,86,12,9,27,36,92,0.581,0.581,,0.4,0.571,0.581,G-F
