Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
89,65,2024-05-07,32-045,DAL,@,OKC,L (-22),1,37:21:00,7,14,0.5,3,4,0.75,3,3,1,0,1,1,3,2,1,4,2,20,13.3,-15
90,66,2024-05-09,32-047,DAL,@,OKC,W (+9),1,41:29:00,2,8,0.25,0,2,0,5,6,0.833,2,1,3,11,2,2,2,4,9,13,9
91,67,2024-05-11,32-049,DAL,,OKC,W (+4),1,40:48:00,10,17,0.588,2,6,0.333,0,0,,2,3,5,7,1,1,4,2,22,18.2,11
92,68,2024-05-13,32-051,DAL,,OKC,L (-4),1,40:34:00,4,11,0.364,0,2,0,1,2,0.5,0,1,1,9,0,0,1,5,9,6.1,4
93,69,2024-05-15,32-053,DAL,@,OKC,W (+12),1,39:08:00,5,11,0.455,2,2,1,0,0,,2,0,2,4,1,0,1,2,12,9.7,12
94,70,2024-05-18,32-056,DAL,,OKC,W (+1),1,42:22:00,9,23,0.391,4,10,0.4,0,0,,0,2,2,3,0,0,4,3,22,7,2
95,71,2024-05-22,32-060,DAL,@,MIN,W (+3),1,40:09:00,12,23,0.522,0,3,0,6,6,1,1,4,5,4,0,1,2,3,30,20.9,5
96,72,2024-05-24,32-062,DAL,@,MIN,W (+1),1,39:10:00,7,16,0.438,4,7,0.571,2,5,0.4,2,2,4,6,1,0,2,4,20,14,6
97,73,2024-05-26,32-064,DAL,,MIN,W (+9),1,41:46:00,12,20,0.6,3,6,0.5,6,8,0.75,0,3,3,4,1,0,4,1,33,23.3,12
98,74,2024-05-28,32-066,DAL,,MIN,L (-5),1,41:59:00,6,18,0.333,1,6,0.167,3,3,1,2,0,2,4,1,0,4,2,16,6.2,-2
99,75,2024-05-30,32-068,DAL,@,MIN,W (+21),1,39:50:00,14,27,0.519,4,10,0.4,4,4,1,1,3,4,5,0,0,0,2,36,27,17
100,76,2024-06-06,32-075,DAL,@,BOS,L (-18),1,36:30:00,6,19,0.316,0,5,0,0,0,,0,3,3,2,2,0,3,2,12,1.6,-19
101,77,2024-06-09,32-078,DAL,@,BOS,L (-7),1,41:27:00,7,18,0.389,0,3,0,2,2,1,0,2,2,6,0,0,2,4,16,7.4,-3
