Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
88,76,2024-05-07,27-196,BOS,,CLE,W (+25),1,33:53:00,12,18,0.667,4,6,0.667,4,4,1,1,5,6,2,0,1,1,2,32,26.7,9
89,77,2024-05-09,27-198,BOS,,CLE,L (-24),1,31:17:00,7,17,0.412,0,6,0,5,5,1,0,4,4,1,0,0,1,2,19,10,-29
90,78,2024-05-11,27-200,BOS,@,CLE,W (+13),1,40:39:00,13,17,0.765,2,3,0.667,0,2,0,2,7,9,3,1,0,2,4,28,23.5,18
91,79,2024-05-13,27-202,BOS,@,CLE,W (+7),1,34:25:00,9,15,0.6,2,3,0.667,7,9,0.778,1,7,8,1,0,0,5,4,27,16.2,3
92,80,2024-05-15,27-204,BOS,,CLE,W (+15),1,40:44:00,4,9,0.444,1,3,0.333,2,4,0.5,0,4,4,7,1,1,3,3,11,9.1,14
93,81,2024-05-21,27-210,BOS,,IND,W (+5),1,44:25:00,10,20,0.5,1,4,0.25,5,8,0.625,1,6,7,5,3,1,3,1,26,21.1,4
94,82,2024-05-23,27-212,BOS,,IND,W (+16),1,36:39:00,14,27,0.519,4,10,0.4,8,11,0.727,2,3,5,2,1,0,2,4,40,26.6,18
95,83,2024-05-25,27-214,BOS,@,IND,W (+3),1,38:02:00,10,18,0.556,1,5,0.2,3,4,0.75,0,2,2,3,1,1,1,3,24,17.2,-1
96,84,2024-05-27,27-216,BOS,@,IND,W (+3),1,44:27:00,11,22,0.5,4,8,0.5,3,6,0.5,2,4,6,2,3,1,3,3,29,20.3,6
97,85,2024-06-06,27-226,BOS,,DAL,W (+18),1,37:14:00,7,12,0.583,2,6,0.333,6,11,0.545,1,5,6,2,3,3,2,3,22,19.9,12
98,86,2024-06-09,27-229,BOS,,DAL,W (+7),1,42:25:00,8,15,0.533,1,5,0.2,4,4,1,2,2,4,7,3,0,6,3,21,16.4,-3
